,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,201110_Std_4uMStdsMix1InH2O_20pos1,201110_Std_4uMStdsMix1InH2O_20pos2,201110_Std_4uMStdsMix1InH2O_35pos1,201110_Std_4uMStdsMix1InH2O_35pos2,201110_Std_4uMStdsMix1InH2O_50pos1,201110_Std_4uMStdsMix1InH2O_50pos2,201119_Std_4uMStdsMix1InH2O_100pos1,201119_Std_4uMStdsMix1InH2O_100pos2
0,21.464,60.04513,Unknown,[M+H]+,,0.125,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,45.97,201119_Std_4uMStdsMix1InH2O_100pos1,60.04513:1876066 61.04848:360694 62.05184:428576,59.92465:6456 59.9439:4998 60.021:6687 60.04515:3780040 60.05817:1517298 60.06445:4305039 60.06731:238920 60.08148:39509 60.18537:5564,-2,-2,-2,-2,-2,-2,828,-2
1,21.472,61.04037,Unknown,[M+H]+,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,8.21,201119_Std_4uMStdsMix1InH2O_100pos1,61.04037:208493 62.04372:15910 63.04708:0,,-2,-2,-2,-2,-2,-2,829,-2
2,7.112,61.08495,Unknown,[M+H]+,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,23.8,201110_Std_4uMStdsMix1InH2O_50pos2,61.08495:136461 62.0883:0 63.09166:0,,-2,-2,-2,-2,-2,155,-2,-2
3,20.423,62.06082,Unknown,[M+H]+,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,10.51,201110_Std_4uMStdsMix1InH2O_50pos2,62.06082:1097699 63.06417:19782 64.06753:0,,-2,-2,-2,-2,-2,639,-2,-2
4,15.905,62.98243,Unknown,[M+Na]+,adduct linked to 254_[M+2ACN+H]+,0.25,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,45.43,201119_Std_4uMStdsMix1InH2O_100pos1,62.98243:454734 63.98578:0 64.98914:0,50.34173:3039 58.54496:3290 62.98248:48236 63.01538:3150,-2,-2,-2,-2,-2,-2,706,579
5,17.375,64.01646,Unknown,[M+Na]+,adduct linked to 261_[M+2ACN+H]+,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,19.79,201119_Std_4uMStdsMix1InH2O_100pos1,64.01646:345536 65.01981:14970 66.02317:0,,-2,-2,-2,-2,-2,-2,707,-2
